ZipCode	primary_city	state	Latitude	Longitude
54840	Grantsburg	WI	45.78	-92.68
54844	Herbster	WI	46.83	-91.26
54861	Odanah	WI	46.61	-90.66
54889	Turtle Lake	WI	45.39	-92.14
54911	Appleton	WI	44.28	-88.38
54935	Fond Du Lac	WI	43.77	-88.44
54943	Hancock	WI	44.13	-89.52
54978	Tilleda	WI	44.81	-88.9
55017	Dalbo	MN	45.68	-93.45
55041	Lake City	MN	44.44	-92.27
55060	Owatonna	MN	44.08	-93.22
55072	Sandstone	MN	46.12	-92.86
55110	Saint Paul	MN	45.09	-93.01
55111	Saint Paul	MN	44.88	-93.2
55124	Saint Paul	MN	44.74	-93.19
55129	Saint Paul	MN	44.88	-92.89
55310	Bird Island	MN	44.76	-94.89
55332	Fairfax	MN	44.52	-94.72
55337	Burnsville	MN	44.76	-93.27
55371	Princeton	MN	45.57	-93.59
55437	Minneapolis	MN	44.82	-93.34
55446	Minneapolis	MN	45.04	-93.49
55448	Minneapolis	MN	45.19	-93.3
55449	Minneapolis	MN	45.18	-93.18
55554	Norwood	MN	44.76	-93.92
55569	Osseo	MN	45.11	-93.39
55575	Howard Lake	MN	45.05	-94.06
55580	Monticello	MN	45.3	-93.8
55602	Brimson	MN	47.27	-91.86
55605	Grand Portage	MN	47.96	-89.68
55609	Knife River	MN	46.97	-91.78
55704	Askov	MN	46.18	-92.78
55725	Crane Lake	MN	48.26	-92.48
55785	Swatara	MN	46.92	-93.73
55796	Winton	MN	47.92	-91.8
55803	Duluth	MN	47.05	-92.07
55804	Duluth	MN	46.93	-91.94
55808	Duluth	MN	46.68	-92.24
55810	Duluth	MN	46.76	-92.27
55917	Blooming Prairie	MN	43.86	-93.05
55919	Brownsville	MN	43.69	-91.28
55953	Lyle	MN	43.5	-92.94
55968	Reads Landing	MN	44.4	-92.09
56011	Belle Plaine	MN	44.62	-93.76
56027	Elmore	MN	43.5	-94.08
56045	Hollandale	MN	43.75	-93.2
56083	Sanborn	MN	44.21	-95.12
56117	Bigelow	MN	43.5	-95.68
56136	Hendricks	MN	44.5	-96.42
56181	Welcome	MN	43.66	-94.61
56219	Browns Valley	MN	45.59	-96.83
56243	Grove City	MN	45.15	-94.68
56274	Norcross	MN	45.86	-96.19
56294	Wanda	MN	44.31	-95.21
56324	Dalton	MN	46.17	-95.91
56350	Mc Grath	MN	46.24	-93.27
56362	Paynesville	MN	45.37	-94.71
56438	Browerville	MN	46.08	-94.86
56461	Laporte	MN	47.21	-94.75
56469	Palisade	MN	46.71	-93.49
56482	Wadena	MN	46.43	-95.13
56518	Bluffton	MN	46.46	-95.23
56531	Elbow Lake	MN	45.99	-95.97
56535	Erskine	MN	47.66	-96.01
56548	Halstad	MN	47.35	-96.82
56662	Outing	MN	46.82	-93.94
56669	Kabetogama	MN	48.41	-93.21
56682	Swift	MN	48.85	-95.22
56684	Trail	MN	47.78	-95.69
56711	Angle Inlet	MN	49.31	-94.96
56736	Mentor	MN	47.69	-96.14
56741	Oak Island	MN	49.31	-94.84
56755	Saint Vincent	MN	48.97	-97.22
56901	Parcel Return Service	DC	38.9	-77.04
56915	Parcel Return Service	DC	38.92	-76.99
56933	Parcel Return Service	DC	38.86	-76.99
57034	Hudson	SD	43.12	-96.45
57049	North Sioux City	SD	42.53	-96.5
57062	Springfield	SD	42.85	-97.89
57071	Volga	SD	44.32	-96.92
57106	Sioux Falls	SD	43.51	-96.84
57107	Sioux Falls	SD	43.6	-96.82
57108	Sioux Falls	SD	43.48	-96.7
57110	Sioux Falls	SD	43.55	-96.64
57212	Arlington	SD	44.36	-97.13
57216	Big Stone City	SD	45.29	-96.46
57258	Raymond	SD	44.91	-97.93
57260	Rosholt	SD	45.86	-96.73
57315	Avon	SD	43	-98.05
57319	Bridgewater	SD	43.55	-97.49
57322	Carpenter	SD	44.63	-97.91
57346	Stephan	SD	44.24	-99.45
57420	Akaska	SD	45.33	-100.12
57430	Britton	SD	45.78	-97.74
57446	Hecla	SD	45.88	-98.15
57476	Tulare	SD	44.73	-98.5
57520	Agar	SD	44.83	-100.07
57551	Martin	SD	43.17	-101.72
57571	Saint Charles	SD	43.09	-99.09
57622	Cherry Creek	SD	44.6	-101.5
57634	Keldron	SD	45.93	-101.8
57646	Mound City	SD	45.72	-100.06
57651	Reva	SD	45.54	-103.08
57714	Allen	SD	43.28	-101.92
57724	Camp Crook	SD	45.54	-103.97
57755	Ludlow	SD	45.83	-103.38
57770	Pine Ridge	SD	43.02	-102.55
58030	Fairmount	ND	46.05	-96.6
58043	Havana	ND	45.95	-97.61
58045	Hillsboro	ND	47.4	-97.06
58072	Valley City	ND	46.92	-98
58102	Fargo	ND	46.93	-96.83
58103	Fargo	ND	46.87	-96.81
58104	Fargo	ND	46.79	-96.84
58219	Caledonia	ND	47.48	-96.88
58239	Hannah	ND	48.97	-98.69
58255	Maida	ND	48.99	-98.36
58318	Bottineau	ND	48.82	-100.44
58356	New Rockford	ND	47.68	-99.13
58361	Pekin	ND	47.79	-98.32
58369	Saint John	ND	48.94	-99.71
58438	Fessenden	ND	47.64	-99.62
58439	Forbes	ND	45.94	-98.78
58477	Regan	ND	47.15	-100.52
58490	Verona	ND	46.36	-98.07
58540	Garrison	ND	47.65	-101.42
58541	Golden Valley	ND	47.29	-102.06
58561	Napoleon	ND	46.5	-99.76
58581	Zeeland	ND	45.97	-99.83
58621	Beach	ND	46.91	-104
58631	Glen Ullin	ND	46.81	-101.83
58634	Grassy Butte	ND	47.4	-103.25
58639	Hettinger	ND	46	-102.63
58711	Antler	ND	48.97	-101.28
58730	Crosby	ND	48.91	-103.29
58757	Mandaree	ND	47.73	-102.67
58758	Martin	ND	47.82	-100.11
58833	Ambrose	ND	48.95	-103.48
58838	Cartwright	ND	47.86	-103.93
58852	Tioga	ND	48.39	-102.93
58854	Watford City	ND	47.8	-103.27
59027	Emigrant	MT	45.28	-110.86
59058	Mosby	MT	47.15	-107.72
59062	Otter	MT	45.09	-106.15
59081	Silver Gate	MT	45.01	-109.97
59103	Billings	MT	45.63	-108.36
59105	Billings	MT	45.87	-108.47
59106	Billings	MT	45.8	-108.66
59214	Brockway	MT	47.31	-105.99
59219	Dagmar	MT	48.56	-104.15
59261	Saco	MT	48.58	-107.42
59276	Whitetail	MT	48.92	-105.19
59314	Biddle	MT	45.08	-105.37
59318	Brusett	MT	47.45	-107.54
59319	Capitol	MT	45.46	-104.18
59411	Babb	MT	48.78	-113.37
59453	Judith Gap	MT	46.63	-109.68
59471	Roy	MT	47.42	-108.98
59484	Sweet Grass	MT	48.94	-111.52
59544	Whitewater	MT	48.78	-107.51
59545	Whitlash	MT	48.91	-111.15
59546	Zortman	MT	47.78	-108.53
59632	Boulder	MT	46.17	-111.99
59639	Lincoln	MT	47.16	-112.68
59642	Ringling	MT	46.26	-110.78
59713	Avon	MT	46.65	-112.6
59715	Bozeman	MT	45.77	-110.93
59739	Lima	MT	44.61	-112.27
59761	Wisdom	MT	45.54	-113.54
59829	Darby	MT	45.78	-114.24
59843	Helmville	MT	46.88	-113
59844	Heron	MT	47.99	-115.9
59853	Noxon	MT	48.03	-115.82
59911	Bigfork	MT	47.74	-113.74
59919	Hungry Horse	MT	47.96	-113.24
59928	Polebridge	MT	48.85	-114.47
59935	Troy	MT	48.72	-115.74
60007	Elk Grove Village	IL	42	-87.99
60033	Harvard	IL	42.42	-88.61
60043	Kenilworth	IL	42.09	-87.71
60071	Richmond	IL	42.48	-88.3
60113	Creston	IL	41.93	-88.97
60130	Forest Park	IL	41.86	-87.81
60144	Kaneville	IL	41.84	-88.52
60152	Marengo	IL	42.24	-88.6
60201	Evanston	IL	42.06	-87.69
60203	Evanston	IL	42.05	-87.72
60290	Chicago	IL	41.85	-87.65
60302	Oak Park	IL	41.88	-87.78
60304	Oak Park	IL	41.87	-87.79
60399	Wood Dale	IL	41.96	-87.94
60402	Berwyn	IL	41.84	-87.79
60409	Calumet City	IL	41.61	-87.54
60460	Odell	IL	41	-88.52
60470	Ransom	IL	41.15	-88.65
60510	Batavia	IL	41.85	-88.3
60534	Lyons	IL	41.81	-87.81
60553	Steward	IL	41.84	-89.02
60557	Wedron	IL	41.45	-88.76
60617	Chicago	IL	41.72	-87.55
60626	Chicago	IL	42.01	-87.67
60633	Chicago	IL	41.66	-87.56
60666	Chicago	IL	41.98	-87.9
60701	Chicago	IL	41.83	-87.68
60707	Elmwood Park	IL	41.92	-87.81
60714	Niles	IL	42.02	-87.8
60804	Cicero	IL	41.84	-87.75
60827	Riverdale	IL	41.64	-87.63
60934	Emington	IL	40.97	-88.35
60949	Ludlow	IL	40.38	-88.12
60950	Manteno	IL	41.25	-87.83
60958	Pembroke Township	IL	41.11	-87.56
61001	Apple River	IL	42.5	-90.09
61025	East Dubuque	IL	42.49	-90.63
61038	Garden Prairie	IL	42.25	-88.73
61042	Harmon	IL	41.71	-89.55
61102	Rockford	IL	42.23	-89.16
61109	Rockford	IL	42.19	-89.06
61112	Rockford	IL	42.24	-88.98
61115	Machesney Park	IL	42.36	-89.03
61231	Aledo	IL	41.19	-90.74
61243	Deer Grove	IL	41.61	-89.68
61272	New Boston	IL	41.25	-91
61285	Thomson	IL	41.95	-90.1
61321	Dana	IL	40.95	-88.94
61324	Eldena	IL	41.77	-89.41
61344	Mineral	IL	41.38	-89.83
61360	Seneca	IL	41.3	-88.61
61424	Camp Grove	IL	41.08	-89.63
61452	Littleton	IL	40.23	-90.62
61454	Lomax	IL	40.67	-91.07
61468	Ophiem	IL	41.26	-90.39
61501	Astoria	IL	40.22	-90.35
61516	Benson	IL	40.85	-89.12
61560	Putnam	IL	41.18	-89.4
61607	Peoria	IL	40.63	-89.69
61611	East Peoria	IL	40.67	-89.54
61629	Peoria	IL	40.74	-89.6
61734	Delavan	IL	40.37	-89.54
61756	Maroa	IL	40.03	-88.95
61760	Minonk	IL	40.9	-89.03
61773	Sibley	IL	40.58	-88.37
61811	Alvin	IL	40.3	-87.6
61845	Foosland	IL	40.36	-88.42
61852	Longview	IL	39.88	-88.06
61882	Weldon	IL	40.12	-88.75
61925	Dalton City	IL	39.71	-88.8
61955	Vermilion	IL	39.58	-87.59
61956	Villa Grove	IL	39.86	-88.15
61957	Windsor	IL	39.43	-88.59
62070	Mozier	IL	39.3	-90.73
62071	National Stock Yards	IL	38.63	-90.15
62078	Patterson	IL	39.48	-90.49
62080	Ramsey	IL	39.14	-89.1
62247	Hagarstown	IL	38.98	-89.18
62280	Rockwood	IL	37.85	-89.65
62295	Valmeyer	IL	38.3	-90.31
62330	Dallas City	IL	40.63	-91.16
62355	Nebo	IL	39.44	-90.79
62361	Pearl	IL	39.45	-90.62
62379	Warsaw	IL	40.35	-91.42
62423	Dennison	IL	39.46	-87.58
62446	Mount Erie	IL	38.51	-88.23
62471	Vandalia	IL	38.98	-89.1
62512	Beason	IL	40.15	-89.2
62530	Divernon	IL	39.56	-89.65
62534	Findlay	IL	39.52	-88.75
62553	Oconee	IL	39.28	-89.1
62656	Lincoln	IL	40.15	-89.36
62681	Rushville	IL	40.11	-90.56
62682	San Jose	IL	40.3	-89.6
62685	Shipman	IL	39.12	-90.04
62707	Springfield	IL	39.85	-89.65
62711	Springfield	IL	39.76	-89.72
62712	Springfield	IL	39.76	-89.57
62803	Hoyleton	IL	38.44	-89.27
62841	Freeman Spur	IL	37.86	-89
62857	Loogootee	IL	38.91	-88.87
62863	Mount Carmel	IL	38.41	-87.77
62914	Cairo	IL	36.99	-89.17
62984	Shawneetown	IL	37.71	-88.16
62997	Willisville	IL	37.98	-89.59
63033	Florissant	MO	38.8	-90.27
63034	Florissant	MO	38.85	-90.29
63036	French Village	MO	37.97	-90.38
63091	Rosebud	MO	38.38	-91.4
63129	Saint Louis	MO	38.46	-90.32
63138	Saint Louis	MO	38.8	-90.19
63190	Saint Louis	MO	38.62	-90.19
63198	Saint Louis	MO	38.65	-90.56
63332	Augusta	MO	38.57	-90.88
63353	Louisiana	MO	39.44	-91.05
63386	West Alton	MO	38.86	-90.22
63388	Williamsburg	MO	38.88	-91.76
63431	Anabel	MO	39.74	-92.31
63433	Ashburn	MO	39.53	-91.13
63462	Perry	MO	39.43	-91.66
63465	Revere	MO	40.49	-91.67
63535	Coatsville	MO	40.58	-92.63
63543	Gorin	MO	40.35	-92
63552	Macon	MO	39.73	-92.47
63556	Milan	MO	40.2	-93.12
63626	Blackwell	MO	38.07	-90.69
63629	Bunker	MO	37.45	-91.21
63638	Ellington	MO	37.23	-90.97
63673	Saint Mary	MO	37.87	-89.94
63742	Commerce	MO	37.16	-89.45
63750	Gipsy	MO	37.15	-90.2
63775	Perryville	MO	37.72	-89.87
63784	Vanduser	MO	36.98	-89.69
63824	Blodgett	MO	37	-89.53
63829	Cardwell	MO	36.04	-90.29
63855	Hornersville	MO	36.04	-90.11
63881	Wolf Island	MO	36.73	-89.21
63933	Campbell	MO	36.49	-90.07
63941	Fremont	MO	36.9	-91.16
63950	Lodi	MO	37.24	-90.46
64018	Camden Point	MO	39.45	-94.74
64040	Holden	MO	38.71	-93.98
64096	Waverly	MO	39.2	-93.51
64098	Weston	MO	39.41	-94.89
64136	Kansas City	MO	39.01	-94.41
64147	Kansas City	MO	38.85	-94.55
64153	Kansas City	MO	39.27	-94.73
64163	Kansas City	MO	39.34	-94.69
64426	Blythedale	MO	40.47	-93.92
64461	Hopkins	MO	40.55	-94.81
64492	Trimble	MO	39.47	-94.56
64496	Watson	MO	40.48	-95.62
64504	Saint Joseph	MO	39.69	-94.91
64505	Saint Joseph	MO	39.85	-94.82
64507	Saint Joseph	MO	39.73	-94.76
64631	Bucklin	MO	39.78	-92.88
64657	Mc Fall	MO	40.11	-94.22
64668	Norborne	MO	39.3	-93.67
64672	Powersville	MO	40.54	-93.3
64734	Cleveland	MO	38.67	-94.59
64738	Collins	MO	37.89	-93.62
64742	Drexel	MO	38.48	-94.6
64755	Jasper	MO	37.33	-94.3
64855	Oronogo	MO	37.3	-94.49
64863	South West City	MO	36.52	-94.6
64868	Tiff City	MO	36.66	-94.61
64874	Wheaton	MO	36.76	-94.05
64944	Kansas City	MO	38.95	-94.57
64999	Kansas City	MO	39.09	-94.58
65020	Camdenton	MO	38	-92.74
65041	Hermann	MO	38.69	-91.43
65068	Prairie Home	MO	38.81	-92.58
65078	Stover	MO	38.44	-92.98
65101	Jefferson City	MO	38.5	-92.13
65102	Jefferson City	MO	38.57	-92.19
65237	Bunceton	MO	38.78	-92.79
65247	Excello	MO	39.63	-92.48
65264	Martinsburg	MO	39.1	-91.64
65286	Triplett	MO	39.49	-93.19
65323	Calhoun	MO	38.46	-93.62
65324	Climax Springs	MO	38.1	-93.05
65344	Miami	MO	39.32	-93.22
65354	Syracuse	MO	38.66	-92.87
65438	Birch Tree	MO	36.99	-91.49
65439	Bixby	MO	37.66	-91.08
65441	Bourbon	MO	38.15	-91.24
65463	Eldridge	MO	37.85	-92.78
65546	Montier	MO	36.98	-91.57
65566	Viburnum	MO	37.71	-91.12
65582	Vienna	MO	38.18	-91.94
65590	Long Lane	MO	37.61	-92.9
65609	Bakersfield	MO	36.52	-92.14
65634	Cross Timbers	MO	38.02	-93.22
65682	Lockwood	MO	37.38	-93.95
65690	Couch	MO	36.59	-91.28
65730	Powell	MO	36.62	-94.18
65778	Myrtle	MO	36.5	-91.26
65787	Roach	MO	38.07	-92.88
65802	Springfield	MO	37.21	-93.35
65803	Springfield	MO	37.28	-93.29
65809	Springfield	MO	37.17	-93.18
65810	Springfield	MO	37.12	-93.31
66015	Colony	KS	38.07	-95.36
66053	Louisburg	KS	38.62	-94.68
66058	Muscotah	KS	39.55	-95.52
66094	White Cloud	KS	39.97	-95.29
66103	Kansas City	KS	39.06	-94.63
66109	Kansas City	KS	39.17	-94.83
66115	Kansas City	KS	39.15	-94.61
66205	Mission	KS	39.03	-94.63
66206	Leawood	KS	38.96	-94.62
66221	Overland Park	KS	38.86	-94.71
66227	Lenexa	KS	38.97	-94.87
66408	Bern	KS	39.96	-95.97
66424	Everest	KS	39.67	-95.42
66449	Leonardville	KS	39.36	-96.85
66451	Lyndon	KS	38.61	-95.68
66510	Melvern	KS	38.5	-95.63
66514	Milford	KS	39.13	-96.88
66532	Robinson	KS	39.81	-95.41
66541	Summerfield	KS	39.99	-96.34
66615	Topeka	KS	39.05	-95.9
66616	Topeka	KS	39.07	-95.62
66618	Topeka	KS	39.14	-95.75
66619	Topeka	KS	38.95	-95.69
66711	Arcadia	KS	37.64	-94.62
66767	Prescott	KS	38.06	-94.69
66777	Toronto	KS	37.79	-95.94
66778	Treece	KS	37	-94.84
66834	Alta Vista	KS	38.86	-96.48
66863	Neal	KS	37.83	-96.08
66866	Peabody	KS	38.16	-97.1
66871	Waverly	KS	38.39	-95.6
66933	Barnes	KS	39.71	-96.87
66937	Clifton	KS	39.56	-97.27
66946	Hollenberg	KS	39.98	-96.99
66951	Kensington	KS	39.76	-99.03
67029	Coldwater	KS	37.25	-99.33
67047	Fall River	KS	37.6	-96.02
67057	Hardtner	KS	37.01	-98.64
67073	Lehigh	KS	38.37	-97.3
67107	Moundridge	KS	38.2	-97.51
67127	Protection	KS	37.2	-99.48
67137	Severy	KS	37.62	-96.22
67150	Waldron	KS	37	-98.18
67204	Wichita	KS	37.77	-97.36
67216	Wichita	KS	37.61	-97.31
67227	Wichita	KS	37.63	-97.5
67228	Wichita	KS	37.77	-97.17
67333	Caney	KS	37.01	-95.93
67336	Chetopa	KS	37.03	-95.09
67346	Grenola	KS	37.35	-96.44
67349	Howard	KS	37.46	-96.26
67449	Herington	KS	38.67	-96.94
67460	Mcpherson	KS	38.36	-97.66
67473	Osborne	KS	39.43	-98.69
67474	Portis	KS	39.56	-98.69
67518	Beeler	KS	38.43	-100.2
67522	Buhler	KS	38.13	-97.77
67553	Liebenthal	KS	38.65	-99.32
67570	Pretty Prairie	KS	37.78	-98.01
67635	Dresden	KS	39.62	-100.42
67647	Long Island	KS	39.94	-99.53
67648	Lucas	KS	39.05	-98.53
67667	Schoenchen	KS	38.71	-99.33
67739	Herndon	KS	39.9	-100.78
67741	Kanorado	KS	39.33	-102.03
67752	Quinter	KS	39.06	-100.23
67762	Weskan	KS	38.86	-101.96
67834	Bucklin	KS	37.54	-99.63
67836	Coolidge	KS	38.04	-102
67840	Englewood	KS	37.06	-100.04
67850	Healy	KS	38.6	-100.62
67901	Liberal	KS	37.04	-100.93
67950	Elkhart	KS	37	-101.89
67952	Moscow	KS	37.32	-101.2
68001	Abie	NE	41.33	-96.96
68030	Homer	NE	42.32	-96.49
68037	Louisville	NE	40.99	-96.16
68048	Plattsmouth	NE	41	-95.89
68110	Omaha	NE	41.3	-95.89
68112	Omaha	NE	41.37	-95.96
68123	Bellevue	NE	41.1	-95.94
68130	Omaha	NE	41.24	-96.2
68325	Byron	NE	40	-97.76
68335	Davenport	NE	40.31	-97.81
68355	Falls City	NE	40.06	-95.59
68367	Gresham	NE	41.02	-97.4
68431	Rulo	NE	40.05	-95.43
68439	Staplehurst	NE	41	-97.21
68440	Steele City	NE	40.03	-97.02
68452	Ong	NE	40.39	-97.83
68517	Lincoln	NE	40.94	-96.62
68526	Lincoln	NE	40.73	-96.58
68527	Lincoln	NE	40.85	-96.52
68532	Lincoln	NE	40.79	-96.84
68621	Ames	NE	41.45	-96.63
68636	Elgin	NE	41.98	-98.08
68637	Ericson	NE	41.78	-98.67
68654	Polk	NE	41.07	-97.78
68755	Naper	NE	42.96	-99.09
68758	Newman Grove	NE	41.74	-97.77
68776	South Sioux City	NE	42.46	-96.41
68778	Springview	NE	42.82	-99.74
68821	Brewster	NE	42.01	-99.77
68833	Dunning	NE	41.82	-100.1
68843	Hampton	NE	40.88	-97.88
68847	Kearney	NE	40.7	-99.08
68943	Hardy	NE	40.01	-97.92
68948	Holbrook	NE	40.3	-100.01
68979	Sutton	NE	40.6	-97.85
68980	Trumbull	NE	40.68	-98.27
69028	Eustis	NE	40.66	-100.02
69029	Farnam	NE	40.7	-100.21
69030	Haigler	NE	40.01	-101.93
69128	Bushnell	NE	41.23	-103.89
69130	Cozad	NE	40.86	-99.98
69135	Elsmere	NE	42.16	-100.18
69170	Wellfleet	NE	40.75	-100.73
69211	Cody	NE	42.93	-101.24
69217	Long Pine	NE	42.53	-99.7
69218	Merriman	NE	42.92	-101.7
69345	Harrisburg	NE	41.55	-103.74
69352	Lyman	NE	41.91	-104.03
69365	Whiteclay	NE	42.98	-102.5
69366	Whitman	NE	42.04	-101.53
60193	Schaumburg	IL	42.01	-88.1
